ASV inference stats: Number of 16S rRNA amplicon read pairs and filtering overview						
						
Sample ID	input read pairs	read pairs kept after filtering	Forward reads denoised	Reverse reads denoised	Merged reads	Non-chimeric ASVs
SDOG_R1_30	113334	90597	88562	88754	81226	56422
SDOG_R2_1	123174	95430	94891	94840	91565	72574
SDOG_R2_2	91911	75495	74612	74766	70340	47296
SDOG_R2_3	77080	59295	58976	58897	57482	44527
SDOG_R2_4	106911	92701	91971	91794	87560	63303
SDOG_R2_5	87863	72237	71399	71515	68107	50488
SDOG_R2_6	112427	94247	93716	93584	90113	68446
SDOG_R2_7	88324	74517	73996	73885	71297	53425
SDOG_R2_8	91478	73373	72451	72590	64085	33968
SDOG_R2_11	131238	109586	109074	109055	105776	84258
SDOG_R2_13	81656	69870	69261	69361	66573	52246
SDOG_R2_14	115128	97105	96684	96713	93380	72281
SDOG_R2_15	134034	101742	101263	101399	99399	74378
SDOG_R2_16	160957	118986	117935	118101	112988	82903
SDOG_R2_17	82748	66262	65581	65554	62843	44073
SDOG_R2_18	104805	84326	83195	83320	78292	55171
SDOG_R2_19	66608	56768	55872	56036	52093	36982
SDOG_R2_21	100806	84693	83494	83579	78091	63219
SDOG_R2_22	94175	78601	77052	77293	71119	49216
SDOG_R2_23	84657	73283	72372	72432	67838	51013
SDOG_R2_24	107627	85030	84042	83785	79086	57206
SDOG_R2_26	86015	71751	71302	71136	67855	45027
SDOG_R2_27	78198	64841	63779	63837	59394	42752
SDOG_R2_28	61083	52678	52097	52225	49812	40757
SDOG_R2_29	75480	61917	61359	61061	57880	39971
SDOG_R2_30	188529	156796	154655	154710	141082	90755
SDOG_R3_2	155862	128162	127136	127191	118584	72841
SDOG_R3_3	144266	119501	113844	115515	87827	43688
SDOG_R3_4	134512	115496	114849	114446	112077	73802
SDOG_R3_5	197551	164368	163947	163697	160820	123106
SDOG_R3_6	168302	138658	137860	137626	131951	88528
SDOG_R3_7	152331	134102	133500	133556	130263	110199
SDOG_R3_8	153501	125679	124277	124315	116352	80910
SDOG_R3_9	273551	230332	229962	229547	225092	157661
SDOG_R3_10	124812	107482	106676	106646	102521	83193
SDOG_R3_11	115711	95694	94974	94896	89794	64965
SDOG_R3_12	129925	105452	104320	104334	99651	66190
SDOG_R3_13	217248	165048	164302	164276	161049	104019
SDOG_R3_14	68336	56674	55767	55803	52968	36454
SDOG_R3_15	110973	92762	91621	91785	86735	63176
SDOG_R3_16	146884	122259	121935	121934	120506	84719
SDOG_R3_17	137959	114658	114328	114179	111938	90138
SDOG_R3_18	97303	80674	80153	80208	77771	48331
SDOG_R3_19	110534	96256	95234	95527	90923	63477
SDOG_R3_20	75495	53817	52931	52930	49823	35466
SDOG_R3_21	196407	165265	164770	164661	160962	121629
SDOG_R3_23	149739	126113	125690	125771	123220	98946
SDOG_R3_24	85963	72337	71980	71883	69451	47126
SDOG_R3_25	143916	118319	117296	117296	112198	88854
SDOG_R3_26	642600	540394	539710	539362	526908	422301
SDOG_R3_28	457172	373385	372149	371853	365158	235628
SFAR_R1_1	275505	228899	223490	224905	190649	105629
SFAR_R1_2	209496	172236	170497	171001	162685	109906
SFAR_R1_3	200690	168248	166143	166174	154212	110021
SFAR_R1_4	214458	173600	170879	171769	158101	99812
SFAR_R1_5	239526	202753	201798	201816	196390	136756
SFAR_R1_6	133872	107767	104865	105514	94718	68716
SFAR_R1_7	127028	103124	100013	100856	85699	49007
SFAR_R1_8	169564	143389	142071	142177	136048	90103
SFAR_R1_9	102621	85081	79690	81660	60438	34543
SFAR_R1_10	166871	136212	133518	134274	123456	82837
SFAR_R1_11	114175	88489	86342	86776	78164	46269
SFAR_R1_28	109467	92202	89287	90009	75935	50030
SFAR_R1_14	121811	101483	98301	98927	83050	52462
SFAR_R1_15	51925	43970	42792	43076	39241	26861
SFAR_R1_16	92203	76447	75774	75741	72772	54013
SFAR_R1_17	128616	105764	104103	104380	96153	61064
SFAR_R1_18	96470	82110	79908	80053	72287	51163
SFAR_R1_19	98873	81651	79344	79747	68830	41270
SFAR_R1_29	79050	65516	62795	63453	51914	34142
SFAR_R1_20	91598	77246	75192	75732	64684	34021
SFAR_R1_22	92193	76905	74971	74916	66376	43276
SFAR_R1_23	113987	92525	89437	90179	79461	42392
SFAR_R1_24	114342	89862	87674	88067	79564	53124
SFAR_R1_25	87230	72784	68702	70188	54095	33390
SFAR_R1_27	98592	81481	79893	80161	74255	54641
SFAR_R2_1	101441	85130	83284	83506	75161	54867
SFAR_R2_2	79573	66462	63973	64502	54304	39481
SFAR_R2_3	81659	65406	63142	63483	57158	44209
SFAR_R2_27	80905	67860	66877	66889	63728	45731
SFAR_R2_5	115168	91604	89865	90331	83231	60756
